的,dik
一,yat
是,si
不,bat
了,liu
在,joi
有,yau
我,ngo
人,yan
他,ta
這,je
個,go
們,mun
來,loi
大,dai
為,wai
上,seung
時,si
能,nang
以,yi
和,wo
要,yiu
說,shue
就,jao
到,do
地,dei
可,ho
那,na
國,gwok
會,wui
也,ya
中,jung
生,sung
子,ji
著,juk
出,chut
你,ni
妳,ni
家,ga
多,do
得,duk
年,nin
用,yung
麼,mo
學,hok
下,ha
去,hue
工,gong
都,do
於,yu
之,ji
自,ji
對,dui
過,go
方,fong
作,jok
好,ho
成,sing
小,siu
樣,yeung
看,hon
分,fun
十,sap
天,tin
面,min
發,fat
然,yin
同,tung
從,chung
後,hau
動,dong
種,jong
所,sor
沒,mud
她,ta
三,sam
如,yu
兩,leung
又,yau
此,chi
事,si
道,dao
還,wan
而,yi
業,yip
起,hei
主,chu
二,yi
行,hang
行,hong
現,yin
數,sao
經,ging
心,sum
因,yan
想,seun
但,dan
很,han
些,se
點,dim
當,dong
物,mud
只,ji
與,yu
長,cheung
前,chin
水,sui
本,bun
開,hoi
民,mun
法,fat
其,kei
見,gin
進,jun
定,ding
實,sad
日,yat
把,ba
知,ji
最,jui
問,mun
等,dun
體,tei
高,go
已,yi
各,gok
外,oi
裏,lui
意,yi
由,yau
頭,tao
力,lik
四,sei
無,mo
正,jing
使,si
氣,hei
做,jo
部,bo
理,lei
里,lei
表,bil
全,chun
將,jeung
相,seung
重,chong
間,gan
加,ga
或,wak
手,sao
常,seung
情,ching
及,kap
己,gei
明,ming
應,ying
它,ta
機,gei
產,chaan
便,bin
便,pin
度,do
回,wui
位,wai
向,heung
